QC,TI,Re_d,PGrad,TurbTime,PStress,UMisalign,ConvTKE,TauRatio,Curvature,SQUARED_DUCT_RSTRESS,PERIODIC_HILL_RSTRESS
0.00142875,0.0256453,0.000283051,0.499918,0.318809,0.71915,0.000668018,-0.550735,0.535899,0.590158,-0.311098,-0.869008
0.003765,0.045401,0.00356148,0.499297,0.653201,0.476095,0.00149953,-0.221421,0.535912,0.538038,-0.283516,-0.857178
0.00615531,0.054767,0.0117914,0.496915,0.768873,0.35541,0.00234188,-0.151848,0.535944,0.521784,-0.247191,-0.843578
0.00871007,0.063291,0.0272258,0.489785,0.825152,0.291163,0.00323407,-0.109297,0.53602,0.511452,-0.21148,-0.826983
0.011627,0.0722355,0.0527268,0.472784,0.852318,0.263735,0.00421449,-0.0776858,0.536227,0.502666,-0.172876,-0.802099
0.0154492,0.081497,0.0912117,0.441989,0.862121,0.272347,0.00543925,-0.0579923,0.536846,0.494724,-0.12703,-0.760225
0.021311,0.0895494,0.14337,0.401088,0.856233,0.327131,0.00725418,-0.0528408,0.538232,0.488081,-0.07345,-0.703257
0.0310866,0.0945662,0.205694,0.359282,0.835705,0.449718,0.0101953,-0.0616852,0.539923,0.482884,-0.022077,-0.653361
0.0477227,0.0968636,0.273822,0.323085,0.804185,0.676245,0.0149957,-0.0849078,0.541225,0.478402,0.021522,-0.620763
0.0756848,0.0979723,0.345872,0.294457,0.764818,0.961569,0.0226598,-0.125272,0.541996,0.474097,0.054824,-0.60212
0.119825,0.0988904,0.422073,0.273656,0.71982,0.745332,0.0341819,-0.188517,0.542111,0.469881,0.075919,-0.597341
0.181766,0.0999441,0.503696,0.260347,0.672511,0.66718,0.0496191,-0.276391,0.54162,0.465589,0.08375,-0.60476
0.257952,0.101165,0.592234,0.253029,0.626552,0.632916,0.0678993,-0.380485,0.540841,0.461124,0.078475,-0.618459
0.34215,0.102515,0.689064,0.249438,0.583802,0.615707,0.0877358,-0.487308,0.540046,0.456489,0.058709,-0.632991
0.428227,0.103961,0.795434,0.24767,0.544453,0.606521,0.108259,-0.585903,0.53935,0.4517,0.02403,-0.645405
0.510669,0.105474,0.912536,0.24668,0.508433,0.601809,0.128918,-0.669848,0.538786,0.446748,-0.025027,-0.654166
0.584794,0.107032,1.04157,0.246012,0.476,0.599857,0.149325,-0.736827,0.538354,0.441605,-0.08974,-0.657866
